ID,Área,Épica,Título,Tipo,Prioridad,Fase,Actor,Quiero,Para,Referencias
BE-001,Backend,Base SaaS,Crear una empresa,Historia de usuario,Must Have,MVP,superadministrador,crear una empresa con configuración inicial,habilitar un nuevo tenant,Empresa 14.1 | RN-001 | RN-002
BE-002,Backend,Base SaaS,Suspender y reactivar empresa,Historia de usuario,Must Have,MVP,superadministrador,suspender o reactivar una empresa,controlar el acceso,Tipos de usuario 6.4
BE-057,Backend,Identidad,Provisionar administrador inicial de empresa,Historia de usuario,Must Have,MVP,superadministrador de plataforma,provisionar el administrador inicial de una empresa activa,habilitar la administración de la empresa,Tipos de usuario 6.1 y 6.4 | RF-AUT-003 | RF-AUT-005 | RNF-005 | RNF-006
BE-003,Backend,Identidad,Autenticar usuario,Historia de usuario,Must Have,MVP,usuario registrado,autenticarme,acceder según mi rol,RF-AUT-001 | RNF-005
BE-004,Backend,Identidad,Renovar sesión,Historia de usuario,Must Have,MVP,usuario autenticado,renovar mi sesión,continuar trabajando,RF-AUT-004
BE-005,Backend,Identidad,Cerrar y revocar sesión,Historia de usuario,Must Have,MVP,usuario autenticado,cerrar mi sesión,evitar reutilización,RF-AUT-004 | RF-AUT-005
BE-006,Backend,Identidad,Recuperar contraseña,Historia de usuario,Must Have,MVP,usuario registrado,restablecer mi contraseña,recuperar acceso,RF-AUT-002
BE-007,Backend,Identidad,Gestionar roles y permisos,Historia de usuario,Must Have,MVP,administrador,asignar roles y permisos,restringir funciones,RF-AUT-003 | RNF-006
BE-008,Backend,Workforce,Crear vendedor,Historia de usuario,Must Have,MVP,administrador,crear un vendedor,asignarle rutas,RF-VEN-001 | HU-002
BE-009,Backend,Workforce,Editar vendedor,Historia de usuario,Must Have,MVP,administrador,actualizar un vendedor,mantener datos,RF-VEN-002
BE-010,Backend,Workforce,Activar o inactivar vendedor,Historia de usuario,Must Have,MVP,administrador,cambiar estado,controlar acceso,RF-VEN-003 | RN-013
BE-011,Backend,Workforce,Asignar supervisor,Historia de usuario,Must Have,MVP,administrador,asignar supervisor,organizar equipos,RF-VEN-004
BE-012,Backend,Workforce,Asignar territorios,Historia de usuario,Must Have,MVP,administrador,asignar zonas,organizar cobertura,RF-VEN-005
BE-013,Backend,Clientes,Registrar cliente,Historia de usuario,Must Have,MVP,administrador,crear un cliente geolocalizado,incluirlo en rutas,RF-CLI-001 | RF-CLI-002 | HU-010
BE-014,Backend,Clientes,Editar cliente y ubicación,Historia de usuario,Must Have,MVP,administrador,corregir cliente,mantener precisión,RF-CLI-005 | RF-AUD-001
BE-015,Backend,Clientes,Detectar clientes duplicados,Historia de usuario,Must Have,MVP,administrador,recibir candidatos duplicados,evitar registros repetidos,RN-015
BE-016,Backend,Clientes,Listar y filtrar clientes,Historia de usuario,Must Have,MVP,administrador o supervisor,filtrar clientes,encontrar cartera,RF-CLI-007
BE-017,Backend,Clientes,Consultar historial de cliente,Historia de usuario,Must Have,MVP,administrador o supervisor,ver visitas y ventas,analizar cliente,RF-CLI-008 | HU-012
BE-018,Backend,Importaciones,Generar plantilla de clientes,Historia de usuario,Must Have,MVP,administrador,descargar plantilla,preparar importación,RF-CLI-004
BE-019,Backend,Importaciones,Procesar importación de clientes,Historia de usuario,Must Have,MVP,administrador,importar CSV o Excel,evitar carga manual,RF-CLI-004 | HU-011
BE-020,Backend,Importaciones,Descargar errores de importación,Historia de usuario,Must Have,MVP,administrador,descargar errores,corregir registros,RF-CLI-004
BE-021,Backend,Rutas,Crear ruta manual,Historia de usuario,Must Have,MVP,administrador,crear ruta manual,programar visitas,RF-RUT-001 | HU-020
BE-022,Backend,Rutas,Generar ruta automática básica,Historia de usuario,Must Have,MVP,administrador,obtener secuencia eficiente,reducir planificación,RF-RUT-002 | RF-RUT-003 | HU-021
BE-023,Backend,Rutas,Reordenar puntos de ruta,Historia de usuario,Must Have,MVP,administrador,modificar secuencia,ajustar operación,RF-RUT-004
BE-024,Backend,Rutas,Publicar ruta,Historia de usuario,Must Have,MVP,administrador,publicar ruta,hacerla disponible,RF-RUT-005 | RF-RUT-006 | RF-RUT-007
